State,Date,Consumption
Alabama,01/03/22,29716.799
Alabama,01/02/22,26521.28
Alabama,01/01/22,37520.247
Alabama,01/12/21,32808.683
Alabama,01/11/21,33232.928
Alabama,01/10/21,31371.307
Alabama,01/09/21,33262.537
Alabama,01/08/21,40340.979
Alabama,01/07/21,38275.824
Alabama,01/06/21,36697.531
Alabama,01/05/21,28622.069
Alabama,01/04/21,23712.535
Alabama,01/03/21,25203.268
Alabama,01/02/21,26637.723
Alabama,01/01/21,33188.486
Alabama,01/12/20,31922.963
Alabama,01/11/20,23649.515
Alabama,01/10/20,30364.159
Alabama,01/09/20,35647.951
Alabama,01/08/20,41841.947
Alabama,01/07/20,46972.61
Alabama,01/06/20,39630.077
Alabama,01/05/20,30957.831
Alabama,01/04/20,21931.897
Alabama,01/03/20,32206.431
Alabama,01/02/20,30671.196
Alabama,01/01/20,30376.324
Alabama,01/12/19,28281.535
Alabama,01/11/19,29432.195
Alabama,01/10/19,35091.925
Alabama,01/09/19,43266.202
Alabama,01/08/19,44598.55
Alabama,01/07/19,43960.29
Alabama,01/06/19,38809.2
Alabama,01/05/19,36268.202
Alabama,01/04/19,27244.307
Alabama,01/03/19,35315.407
Alabama,01/02/19,28042.937
Alabama,01/01/19,28621.473
Alabama,01/12/18,30691.116
Alabama,01/11/18,31598.383
Alabama,01/10/18,36928.593
Alabama,01/09/18,42870.874
Alabama,01/08/18,42422.239
Alabama,01/07/18,44172.788
Alabama,01/06/18,38609.568
Alabama,01/05/18,39502.911
Alabama,01/04/18,33626.16
Alabama,01/03/18,31064.255
Alabama,01/02/18,25180.545
Alabama,01/01/18,34238.862
Alabama,01/12/17,30413.186
Alabama,01/11/17,30616.931
Alabama,01/10/17,31595.705
Alabama,01/09/17,34363.371
Alabama,01/08/17,39606.781
Alabama,01/07/17,41699.712
Alabama,01/06/17,31237.51
Alabama,01/05/17,30940.223
Alabama,01/04/17,29957.112
Alabama,01/03/17,31584.885
Alabama,01/02/17,22805.147
Alabama,01/01/17,25217.086
Alabama,01/12/16,31014.994
Alabama,01/11/16,30551.197
Alabama,01/10/16,31645.424
Alabama,01/09/16,40185.174
Alabama,01/08/16,43070.149
Alabama,01/07/16,44141.588
Alabama,01/06/16,39005.763
Alabama,01/05/16,33044.019
